bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,fantasy_points
Ramandeep Singh,3,6,0,6,0.0,0.0,1.0,0.0,3.0,177
Rashid Khan,96,157,3,157,0.1146496815286624,0.019108280254777,1.0,15.0,28.0,4002
Rasikh Salam,4,9,0,9,0.0,0.0,1.0,0.0,3.0,252
Ravi Bishnoi,43,68,0,68,0.0,0.0,1.0,3.0,8.0,1747
S Aravind,25,45,0,45,0.0,0.0,1.0,20.0,13.0,1164
S Badree,7,11,0,11,0.0,0.0,1.0,7.0,0.0,302
S Dhawan,3,3,0,3,0.0,0.0,1.0,1.0,0.0,90
S Dube,3,6,1,6,1.0,0.1666666666666666,1.0,0.0,3.0,177
S Gopal,32,53,0,53,0.0,0.0,1.0,8.0,1.0,1366
S Kaul,37,61,3,61,0.2950819672131147,0.0491803278688524,1.0,13.0,28.0,1570
S Kaushik,3,6,0,6,0.0,0.0,1.0,0.0,0.0,177
S Ladda,4,5,0,5,0.0,0.0,1.0,1.0,3.0,150
S Lamichhane,8,14,2,14,0.8571428571428571,0.1428571428571428,1.0,5.0,0.0,379
S Nadeem,37,51,2,51,0.2352941176470588,0.0392156862745098,1.0,10.0,2.0,1316
S Narwal,2,6,0,6,0.0,0.0,1.0,4.0,2.0,177
S Randiv,5,8,1,8,0.75,0.125,1.0,0.0,2.0,227
S Sandeep Warrier,4,8,0,8,0.0,0.0,1.0,8.0,0.0,227
S Sreesanth,22,36,1,36,0.1666666666666666,0.0277777777777777,1.0,22.0,7.0,937
S Tyagi,5,6,0,6,0.0,0.0,1.0,5.0,0.0,177
S Vidyut,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
SA Abbott,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
SB Bangar,4,6,0,6,0.0,0.0,1.0,2.0,0.0,177
SB Jakati,28,48,1,48,0.125,0.0208333333333333,1.0,1.0,5.0,1241
SB Joshi,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
SB Styris,5,9,0,9,0.0,0.0,1.0,1.0,3.0,252
SB Wagh,1,1,0,1,0.0,0.0,1.0,1.0,0.0,35
SC Ganguly,5,9,1,9,0.6666666666666666,0.1111111111111111,1.0,0.0,0.0,252
SC Kuggeleijn,1,2,0,2,0.0,0.0,1.0,0.0,2.0,60
SD Chitnis,1,2,0,2,0.0,0.0,1.0,0.0,1.0,60
SE Bond,6,9,0,9,0.0,0.0,1.0,4.0,2.0,252
SE Rutherford,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
SH Johnson,3,4,0,4,0.0,0.0,1.0,1.0,2.0,115
SJ Srivastava,8,11,0,11,0.0,0.0,1.0,5.0,1.0,302
SK Raina,23,30,2,30,0.4,0.0666666666666666,1.0,2.0,8.0,785
SK Trivedi,39,63,1,63,0.0952380952380952,0.0158730158730158,1.0,7.0,13.0,1620
SK Warne,35,56,2,56,0.2142857142857142,0.0357142857142857,1.0,1.0,9.0,1443
SL Malinga,87,174,9,174,0.3103448275862069,0.0517241379310344,1.0,38.0,97.0,4433
SM Boland,1,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0,90
SM Curran,36,62,2,62,0.1935483870967742,0.032258064516129,1.0,12.0,36.0,1595
SM Harwood,2,3,0,3,0.0,0.0,1.0,1.0,1.0,90
SM Pollock,8,13,1,13,0.4615384615384615,0.0769230769230769,1.0,9.0,0.0,354
SMSM Senanayake,6,8,0,8,0.0,0.0,1.0,3.0,1.0,227
SN Thakur,58,100,1,100,0.06,0.01,1.0,23.0,42.0,2557
SP Narine,116,195,7,195,0.2153846153846153,0.0358974358974358,1.0,28.0,65.0,4964
SR Watson,60,103,7,103,0.4077669902912621,0.0679611650485436,1.0,34.0,46.0,2634
SS Agarwal,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
SS Cottrell,4,6,0,6,0.0,0.0,1.0,4.0,2.0,177
SS Sarkar,1,1,0,1,0.0,0.0,1.0,0.0,1.0,35
SSB Magala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
ST Jayasuriya,8,16,1,16,0.375,0.0625,1.0,0.0,3.0,429
STR Binny,21,27,1,27,0.2222222222222222,0.037037037037037,1.0,8.0,3.0,708
SW Tait,11,22,1,22,0.2727272727272727,0.0454545454545454,1.0,6.0,12.0,581
Sachin Baby,2,3,0,3,0.0,0.0,1.0,0.0,2.0,90
Sandeep Sharma,90,153,6,153,0.2352941176470588,0.0392156862745098,1.0,63.0,54.0,3900
Shahbaz Ahmed,14,21,0,21,0.0,0.0,1.0,2.0,4.0,556
Shahid Afridi,5,9,0,9,0.0,0.0,1.0,1.0,2.0,252
Shakib Al Hasan,43,64,3,64,0.28125,0.046875,1.0,19.0,10.0,1645
Shashank Singh,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
Shivam Mavi,24,33,2,33,0.3636363636363636,0.0606060606060606,1.0,9.0,15.0,860
Shivam Sharma,3,4,0,4,0.0,0.0,1.0,0.0,0.0,115
Shoaib Ahmed,3,5,0,5,0.0,0.0,1.0,1.0,0.0,150
Shoaib Akhtar,2,5,0,5,0.0,0.0,1.0,5.0,0.0,150
Shoaib Malik,2,2,0,2,0.0,0.0,1.0,0.0,0.0,60
Sikandar Raza,3,3,0,3,0.0,0.0,1.0,0.0,0.0,90
Simarjeet Singh,6,10,1,10,0.6000000000000001,0.1,1.0,3.0,1.0,277
Sohail Tanvir,8,24,1,24,0.25,0.0416666666666666,1.0,6.0,18.0,633
Suyash Sharma,6,11,1,11,0.5454545454545454,0.0909090909090909,1.0,3.0,1.0,302
Swapnil Singh,5,7,0,7,0.0,0.0,1.0,5.0,0.0,202
T Henderson,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
T Natarajan,45,76,3,76,0.2368421052631578,0.0394736842105263,1.0,17.0,43.0,1949
T Shamsi,3,3,0,3,0.0,0.0,1.0,0.0,0.0,90
T Stubbs,3,4,1,4,1.5,0.25,1.0,0.0,0.0,115
T Thushara,5,10,1,10,0.6000000000000001,0.1,1.0,3.0,6.0,277
TA Boult,81,128,2,128,0.09375,0.015625,1.0,63.0,47.0,3267
TG Southee,29,56,4,56,0.4285714285714285,0.0714285714285714,1.0,21.0,24.0,1443
TK Curran,9,13,0,13,0.0,0.0,1.0,1.0,7.0,354
TL Suman,4,6,1,6,1.0,0.1666666666666666,1.0,0.0,2.0,177
TM Dilshan,4,4,0,4,0.0,0.0,1.0,0.0,0.0,115
TM Head,2,3,1,3,2.0,0.3333333333333333,1.0,0.0,1.0,90
TP Sudhindra,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
TS Mills,7,11,0,11,0.0,0.0,1.0,6.0,4.0,302
TU Deshpande,24,46,2,46,0.2608695652173913,0.0434782608695652,1.0,15.0,21.0,1189
UT Yadav,88,160,10,160,0.375,0.0625,1.0,60.0,54.0,4077
Umar Gul,6,14,1,14,0.4285714285714285,0.0714285714285714,1.0,5.0,5.0,379
Umran Malik,16,31,0,31,0.0,0.0,1.0,0.0,5.0,810
V Kaverappa,1,2,0,2,0.0,0.0,1.0,2.0,0.0,60
V Kohli,3,4,1,4,1.5,0.25,1.0,0.0,1.0,115
V Pratap Singh,7,10,0,10,0.0,0.0,1.0,3.0,4.0,277
V Sehwag,5,6,0,6,0.0,0.0,1.0,0.0,1.0,177
V Shankar,11,12,1,12,0.5,0.0833333333333333,1.0,0.0,2.0,329
V Viyaskanth,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
VG Arora,12,20,1,20,0.3,0.05,1.0,12.0,6.0,531
VR Aaron,27,46,1,46,0.1304347826086956,0.0217391304347826,1.0,15.0,13.0,1189
VR Iyer,2,3,0,3,0.0,0.0,1.0,0.0,1.0,90
VRV Singh,10,16,3,16,1.125,0.1875,1.0,1.0,11.0,429
VS Malik,5,6,0,6,0.0,0.0,1.0,4.0,0.0,177
VY Mahesh,11,21,1,21,0.2857142857142857,0.0476190476190476,1.0,4.0,10.0,556
Vijaykumar Vyshak,9,17,0,17,0.0,0.0,1.0,2.0,4.0,454
WA Mota,4,4,0,4,0.0,0.0,1.0,0.0,0.0,115
WD Parnell,10,16,1,16,0.375,0.0625,1.0,8.0,6.0,429
WG Jacks,2,2,0,2,0.0,0.0,1.0,1.0,0.0,60
WPUJC Vaas,11,22,0,22,0.0,0.0,1.0,17.0,4.0,581
Washington Sundar,26,39,0,39,0.0,0.0,1.0,14.0,1.0,1012
Y Nagar,3,4,0,4,0.0,0.0,1.0,0.0,0.0,115
Y Prithvi Raj,1,1,0,1,0.0,0.0,1.0,0.0,0.0,35
Y Venugopal Rao,5,7,0,7,0.0,0.0,1.0,1.0,1.0,202
YA Abdulla,6,15,0,15,0.0,0.0,1.0,7.0,6.0,404
YK Pathan,27,38,3,38,0.4736842105263157,0.0789473684210526,1.0,14.0,3.0,987
YS Chahal,122,213,5,213,0.1408450704225352,0.0234741784037558,1.0,18.0,34.0,5420
Yash Dayal,19,31,3,31,0.5806451612903225,0.0967741935483871,1.0,13.0,11.0,810
Yash Thakur,14,27,2,27,0.4444444444444444,0.074074074074074,1.0,7.0,15.0,708
Yudhvir Singh,3,4,0,4,0.0,0.0,1.0,3.0,0.0,115
Yuvraj Singh,13,24,1,24,0.25,0.0416666666666666,1.0,0.0,4.0,633
Z Khan,65,113,6,113,0.3185840707964602,0.0530973451327433,1.0,56.0,39.0,2886
