bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
Avesh Khan,44,81,6,81,0.4444444444444444,0.074074074074074,1.0,21.0,33.0,0.25925925925925924,0.4074074074074074,0.1666666666666665
Azhar Mahmood,12,26,1,26,0.2307692307692307,0.0384615384615384,1.0,5.0,13.0,0.19230769230769232,0.5,0.16666666666666646
Azmatullah Omarzai,3,4,0,4,0.0,0.0,1.0,3.0,0.0,0.75,0.0,
B Akhil,5,7,1,7,0.8571428571428571,0.1428571428571428,1.0,0.0,1.0,0.0,0.14285714285714285,0.1666666666666666
B Geeves,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
B Kumar,99,170,3,170,0.1058823529411764,0.0176470588235294,1.0,65.0,87.0,0.38235294117647056,0.5117647058823529,0.16666666666666666
B Laughlin,6,10,0,10,0.0,0.0,1.0,3.0,3.0,0.3,0.3,
B Lee,22,29,1,29,0.2068965517241379,0.0344827586206896,1.0,12.0,12.0,0.41379310344827586,0.41379310344827586,0.1666666666666664
B Stanlake,4,7,0,7,0.0,0.0,1.0,2.0,0.0,0.2857142857142857,0.0,
BA Bhatt,6,12,0,12,0.0,0.0,1.0,3.0,2.0,0.25,0.16666666666666666,
BA Stokes,19,31,0,31,0.0,0.0,1.0,9.0,12.0,0.2903225806451613,0.3870967741935484,
BAW Mendis,5,7,0,7,0.0,0.0,1.0,0.0,1.0,0.0,0.14285714285714285,
BB Sran,15,20,0,20,0.0,0.0,1.0,6.0,7.0,0.3,0.35,
BCJ Cutting,9,12,0,12,0.0,0.0,1.0,0.0,2.0,0.0,0.16666666666666666,
BE Hendricks,6,11,0,11,0.0,0.0,1.0,1.0,7.0,0.09090909090909091,0.6363636363636364,
BJ Hodge,8,10,0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
BMAJ Mendis,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
BW Hilfenhaus,16,23,0,23,0.0,0.0,1.0,13.0,6.0,0.5652173913043478,0.2608695652173913,
Basil Thampi,15,26,2,26,0.4615384615384615,0.0769230769230769,1.0,2.0,16.0,0.07692307692307693,0.6153846153846154,0.16666666666666663
Bipul Sharma,15,20,2,20,0.6000000000000001,0.1,1.0,5.0,0.0,0.25,0.0,0.16666666666666666
C Green,14,20,2,20,0.6000000000000001,0.1,1.0,3.0,2.0,0.15,0.1,0.16666666666666666
C Nanda,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
C Sakariya,13,20,0,20,0.0,0.0,1.0,6.0,8.0,0.3,0.4,
C de Grandhomme,5,7,1,7,0.8571428571428571,0.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.1666666666666666
CH Gayle,9,13,0,13,0.0,0.0,1.0,3.0,4.0,0.23076923076923078,0.3076923076923077,
CH Morris,55,103,6,103,0.3495145631067961,0.058252427184466,1.0,24.0,59.0,0.23300970873786409,0.5728155339805825,0.16666666666666663
CJ Anderson,11,14,2,14,0.8571428571428571,0.1428571428571428,1.0,2.0,6.0,0.14285714285714285,0.42857142857142855,0.1666666666666666
CJ Jordan,21,36,5,36,0.8333333333333334,0.1388888888888889,1.0,6.0,16.0,0.16666666666666666,0.4444444444444444,0.16666666666666666
CJ McKay,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
CK Langeveldt,7,13,0,13,0.0,0.0,1.0,6.0,4.0,0.46153846153846156,0.3076923076923077,
CL White,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
CR Brathwaite,10,16,1,16,0.375,0.0625,1.0,1.0,6.0,0.0625,0.375,0.16666666666666666
CR Woakes,17,31,0,31,0.0,0.0,1.0,6.0,15.0,0.1935483870967742,0.4838709677419355,
CRD Fernando,9,19,0,19,0.0,0.0,1.0,7.0,7.0,0.3684210526315789,0.3684210526315789,
CV Varun,50,85,2,85,0.1411764705882353,0.0235294117647058,1.0,13.0,8.0,0.15294117647058825,0.09411764705882353,0.16666666666666607
D Brevis,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
D Jansen,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
