bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets,Powerplay_Wicket_Percentage,DeathOver_Wicket_Percentage,Control
MG Johnson,36,61,2,61,0.1967213114754098,0.0327868852459016,1.0,25.0,26.0,0.4098360655737705,0.4262295081967213,0.1666666666666665
MJ Henry,2,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.16666666666666666
MJ McClenaghan,43,75,0,75,0.0,0.0,1.0,32.0,28.0,0.4266666666666667,0.37333333333333335,
MJ Santner,13,16,0,16,0.0,0.0,1.0,2.0,1.0,0.125,0.0625,
MK Lomror,2,2,1,2,3.0,0.5,1.0,1.0,0.0,0.5,0.0,0.16666666666666666
MK Tiwary,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
MM Ali,26,40,1,40,0.15,0.025,1.0,2.0,2.0,0.05,0.05,0.16666666666666669
MM Patel,37,74,1,74,0.081081081081081,0.0135135135135135,1.0,25.0,20.0,0.33783783783783783,0.2702702702702703,0.16666666666666666
MM Sharma,75,144,9,144,0.375,0.0625,1.0,35.0,72.0,0.24305555555555555,0.5,0.16666666666666666
MP Stoinis,31,45,0,45,0.0,0.0,1.0,8.0,15.0,0.17777777777777778,0.3333333333333333,
MP Yadav,3,8,0,8,0.0,0.0,1.0,2.0,1.0,0.25,0.125,
MR Marsh,13,23,0,23,0.0,0.0,1.0,6.0,5.0,0.2608695652173913,0.21739130434782608,
MS Gony,24,35,2,35,0.3428571428571428,0.0571428571428571,1.0,18.0,4.0,0.5142857142857142,0.11428571428571428,0.16666666666666655
Mashrafe Mortaza,1,1,1,1,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.16666666666666666
Mayank Dagar,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Mohammad Asif,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,3.0,5.0,0.3333333333333333,0.5555555555555556,0.16666666666666666
Mohammad Hafeez,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Mohammad Nabi,10,15,0,15,0.0,0.0,1.0,7.0,2.0,0.4666666666666667,0.13333333333333333,
Mohammed Shami,83,144,7,144,0.2916666666666667,0.0486111111111111,1.0,51.0,69.0,0.3541666666666667,0.4791666666666667,0.1666666666666666
Mohammed Siraj,58,96,5,96,0.3125,0.0520833333333333,1.0,37.0,38.0,0.3854166666666667,0.3958333333333333,0.16666666666666657
Mohsin Khan,17,27,0,27,0.0,0.0,1.0,11.0,10.0,0.4074074074074074,0.37037037037037035,
Mujeeb Ur Rahman,11,20,0,20,0.0,0.0,1.0,5.0,5.0,0.25,0.25,
Mukesh Choudhary,8,16,0,16,0.0,0.0,1.0,11.0,2.0,0.6875,0.125,
Mukesh Kumar,16,31,8,31,1.5483870967741935,0.2580645161290322,1.0,5.0,16.0,0.16129032258064516,0.5161290322580645,0.16666666666666663
Mustafizur Rahman,40,70,3,70,0.2571428571428571,0.0428571428571428,1.0,15.0,37.0,0.21428571428571427,0.5285714285714286,0.16666666666666646
N Burger,5,7,0,7,0.0,0.0,1.0,4.0,1.0,0.5714285714285714,0.14285714285714285,
N Rana,7,10,0,10,0.0,0.0,1.0,0.0,2.0,0.0,0.2,
N Thushara,4,8,0,8,0.0,0.0,1.0,6.0,2.0,0.75,0.25,
NB Singh,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
ND Doshi,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
NLTC Perera,16,26,0,26,0.0,0.0,1.0,4.0,16.0,0.15384615384615385,0.6153846153846154,
NM Coulter-Nile,26,52,3,52,0.3461538461538461,0.0576923076923076,1.0,15.0,22.0,0.28846153846153844,0.4230769230769231,0.1666666666666664
NT Ellis,11,19,1,19,0.3157894736842105,0.0526315789473684,1.0,4.0,5.0,0.21052631578947367,0.2631578947368421,0.1666666666666666
Navdeep Saini,17,26,0,26,0.0,0.0,1.0,9.0,12.0,0.34615384615384615,0.46153846153846156,
Naveen-ul-Haq,12,26,0,26,0.0,0.0,1.0,6.0,11.0,0.23076923076923078,0.4230769230769231,
Nithish Kumar Reddy,3,4,1,4,1.5,0.25,1.0,0.0,1.0,0.0,0.25,0.16666666666666666
Noor Ahmad,14,24,1,24,0.25,0.0416666666666666,1.0,1.0,4.0,0.041666666666666664,0.16666666666666666,0.1666666666666664
O Thomas,3,5,0,5,0.0,0.0,1.0,2.0,2.0,0.4,0.4,
OC McCoy,6,11,0,11,0.0,0.0,1.0,0.0,8.0,0.0,0.7272727272727273,
OF Smith,4,7,0,7,0.0,0.0,1.0,1.0,4.0,0.14285714285714285,0.5714285714285714,
P Amarnath,5,7,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
P Awana,22,39,1,39,0.1538461538461538,0.0256410256410256,1.0,14.0,14.0,0.358974358974359,0.358974358974359,0.16666666666666644
P Dubey,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
P Kumar,63,96,3,96,0.1875,0.03125,1.0,40.0,39.0,0.4166666666666667,0.40625,0.16666666666666666
P Negi,25,38,3,38,0.4736842105263157,0.0789473684210526,1.0,3.0,8.0,0.07894736842105263,0.21052631578947367,0.16666666666666663
P Parameswaran,3,5,0,5,0.0,0.0,1.0,1.0,3.0,0.2,0.6,
P Sahu,2,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
P Suyal,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
PC Valthaty,4,7,0,7,0.0,0.0,1.0,0.0,2.0,0.0,0.2857142857142857,
PD Collingwood,4,5,0,5,0.0,0.0,1.0,0.0,3.0,0.0,0.6,
PH Solanki,1,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,
PJ Cummins,40,66,1,66,0.0909090909090909,0.0151515151515151,1.0,21.0,20.0,0.3181818181818182,0.30303030303030304,0.16666666666666613
PJ Sangwan,29,44,2,44,0.2727272727272727,0.0454545454545454,1.0,16.0,5.0,0.36363636363636365,0.11363636363636363,0.1666666666666665
PM Sarvesh Kumar,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
PP Chawla,125,198,6,198,0.1818181818181818,0.0303030303030303,1.0,21.0,29.0,0.10606060606060606,0.14646464646464646,0.16666666666666669
PP Ojha,54,91,3,91,0.1978021978021978,0.0329670329670329,1.0,6.0,17.0,0.06593406593406594,0.18681318681318682,0.16666666666666632
PV Tambe,18,28,1,28,0.2142857142857142,0.0357142857142857,1.0,3.0,1.0,0.10714285714285714,0.03571428571428571,0.16666666666666666
PVD Chameera,6,11,1,11,0.5454545454545454,0.0909090909090909,1.0,7.0,3.0,0.6363636363636364,0.2727272727272727,0.16666666666666666
PWH de Silva,20,36,0,36,0.0,0.0,1.0,4.0,8.0,0.1111111111111111,0.2222222222222222,
Pankaj Singh,6,11,0,11,0.0,0.0,1.0,8.0,1.0,0.7272727272727273,0.09090909090909091,
Parvez Rasool,3,3,0,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,
R Ashwin,125,189,9,189,0.2857142857142857,0.0476190476190476,1.0,49.0,22.0,0.25925925925925924,0.1164021164021164,0.1666666666666666
R Bhatia,46,78,4,78,0.3076923076923077,0.0512820512820512,1.0,0.0,18.0,0.0,0.23076923076923078,0.16666666666666638
R Dhawan,19,27,0,27,0.0,0.0,1.0,5.0,4.0,0.18518518518518517,0.14814814814814814,
R McLaren,9,13,1,13,0.4615384615384615,0.0769230769230769,1.0,4.0,6.0,0.3076923076923077,0.46153846153846156,0.16666666666666663
R Ninan,2,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
R Parag,5,5,0,5,0.0,0.0,1.0,1.0,0.0,0.2,0.0,
R Powell,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
R Rampaul,10,15,1,15,0.4,0.0666666666666666,1.0,9.0,4.0,0.6,0.26666666666666666,0.1666666666666665
R Sai Kishore,8,13,0,13,0.0,0.0,1.0,1.0,2.0,0.07692307692307693,0.15384615384615385,
R Sathish,4,6,1,6,1.0,0.1666666666666666,1.0,0.0,1.0,0.0,0.16666666666666666,0.1666666666666666
R Sharma,6,7,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
R Shepherd,3,6,1,6,1.0,0.1666666666666666,1.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.1666666666666666
R Shukla,5,7,0,7,0.0,0.0,1.0,4.0,2.0,0.5714285714285714,0.2857142857142857,
R Tewatia,23,36,8,36,1.3333333333333333,0.2222222222222222,1.0,0.0,4.0,0.0,0.1111111111111111,0.16666666666666666
R Vinay Kumar,55,100,8,100,0.48,0.08,1.0,27.0,44.0,0.27,0.44,0.16666666666666669
RA Jadeja,93,158,2,158,0.0759493670886076,0.0126582278481012,1.0,5.0,23.0,0.03164556962025317,0.14556962025316456,0.1666666666666658
RD Chahar,47,76,1,76,0.0789473684210526,0.0131578947368421,1.0,3.0,8.0,0.039473684210526314,0.10526315789473684,0.16666666666666666
RE van der Merwe,15,20,1,20,0.3,0.05,1.0,4.0,3.0,0.2,0.15,0.16666666666666669
RG More,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
RG Sharma,9,16,1,16,0.375,0.0625,1.0,2.0,2.0,0.125,0.125,0.16666666666666666
RJ Gleeson,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
RJ Harris,23,43,1,43,0.1395348837209302,0.0232558139534883,1.0,14.0,23.0,0.32558139534883723,0.5348837209302325,0.16666666666666616
RJ Peterson,1,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
RJW Topley,4,5,0,5,0.0,0.0,1.0,2.0,2.0,0.4,0.4,
RN ten Doeschate,3,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
RP Meredith,15,21,0,21,0.0,0.0,1.0,2.0,11.0,0.09523809523809523,0.5238095238095238,
RP Singh,46,83,2,83,0.144578313253012,0.0240963855421686,1.0,27.0,48.0,0.3253012048192771,0.5783132530120482,0.1666666666666662
RR Powar,9,13,1,13,0.4615384615384615,0.0769230769230769,1.0,6.0,0.0,0.46153846153846156,0.0,0.16666666666666663
RR Raje,4,7,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
RS Bopara,8,13,0,13,0.0,0.0,1.0,0.0,2.0,0.0,0.15384615384615385,
RS Hangargekar,1,3,0,3,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,
Ramandeep Singh,3,6,0,6,0.0,0.0,1.0,0.0,3.0,0.0,0.5,
Rashid Khan,96,157,3,157,0.1146496815286624,0.019108280254777,1.0,15.0,28.0,0.09554140127388536,0.17834394904458598,0.1666666666666661
Rasikh Salam,4,9,0,9,0.0,0.0,1.0,0.0,3.0,0.0,0.3333333333333333,
Ravi Bishnoi,43,68,0,68,0.0,0.0,1.0,3.0,8.0,0.04411764705882353,0.11764705882352941,
S Aravind,25,45,0,45,0.0,0.0,1.0,20.0,13.0,0.4444444444444444,0.28888888888888886,
S Badree,7,11,0,11,0.0,0.0,1.0,7.0,0.0,0.6363636363636364,0.0,
S Dhawan,3,3,0,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,
S Dube,3,6,1,6,1.0,0.1666666666666666,1.0,0.0,3.0,0.0,0.5,0.1666666666666666
S Gopal,32,53,0,53,0.0,0.0,1.0,8.0,1.0,0.1509433962264151,0.018867924528301886,
S Kaul,37,61,3,61,0.2950819672131147,0.0491803278688524,1.0,13.0,28.0,0.21311475409836064,0.45901639344262296,0.16666666666666652
S Kaushik,3,6,0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
S Ladda,4,5,0,5,0.0,0.0,1.0,1.0,3.0,0.2,0.6,
S Lamichhane,8,14,2,14,0.8571428571428571,0.1428571428571428,1.0,5.0,0.0,0.35714285714285715,0.0,0.1666666666666666
S Nadeem,37,51,2,51,0.2352941176470588,0.0392156862745098,1.0,10.0,2.0,0.19607843137254902,0.0392156862745098,0.1666666666666667
S Narwal,2,6,0,6,0.0,0.0,1.0,4.0,2.0,0.6666666666666666,0.3333333333333333,
S Randiv,5,8,1,8,0.75,0.125,1.0,0.0,2.0,0.0,0.25,0.16666666666666666
S Sandeep Warrier,4,8,0,8,0.0,0.0,1.0,8.0,0.0,1.0,0.0,
S Sreesanth,22,36,1,36,0.1666666666666666,0.0277777777777777,1.0,22.0,7.0,0.6111111111111112,0.19444444444444445,0.16666666666666627
S Tyagi,5,6,0,6,0.0,0.0,1.0,5.0,0.0,0.8333333333333334,0.0,
S Vidyut,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
SA Abbott,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
SB Bangar,4,6,0,6,0.0,0.0,1.0,2.0,0.0,0.3333333333333333,0.0,
SB Jakati,28,48,1,48,0.125,0.0208333333333333,1.0,1.0,5.0,0.020833333333333332,0.10416666666666667,0.1666666666666664
SB Joshi,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
SB Styris,5,9,0,9,0.0,0.0,1.0,1.0,3.0,0.1111111111111111,0.3333333333333333,
SB Wagh,1,1,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
SC Ganguly,5,9,1,9,0.6666666666666666,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.16666666666666666
SC Kuggeleijn,1,2,0,2,0.0,0.0,1.0,0.0,2.0,0.0,1.0,
SD Chitnis,1,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,
SE Bond,6,9,0,9,0.0,0.0,1.0,4.0,2.0,0.4444444444444444,0.2222222222222222,
SE Rutherford,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
SH Johnson,3,4,0,4,0.0,0.0,1.0,1.0,2.0,0.25,0.5,
SJ Srivastava,8,11,0,11,0.0,0.0,1.0,5.0,1.0,0.45454545454545453,0.09090909090909091,
SK Raina,23,30,2,30,0.4,0.0666666666666666,1.0,2.0,8.0,0.06666666666666667,0.26666666666666666,0.1666666666666665
SK Trivedi,39,63,1,63,0.0952380952380952,0.0158730158730158,1.0,7.0,13.0,0.1111111111111111,0.20634920634920634,0.16666666666666594
SK Warne,35,56,2,56,0.2142857142857142,0.0357142857142857,1.0,1.0,9.0,0.017857142857142856,0.16071428571428573,0.16666666666666666
SL Malinga,87,174,9,174,0.3103448275862069,0.0517241379310344,1.0,38.0,97.0,0.21839080459770116,0.5574712643678161,0.1666666666666664
SM Boland,1,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.16666666666666666
SM Curran,36,62,2,62,0.1935483870967742,0.032258064516129,1.0,12.0,36.0,0.1935483870967742,0.5806451612903226,0.1666666666666665
SM Harwood,2,3,0,3,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,
SM Pollock,8,13,1,13,0.4615384615384615,0.0769230769230769,1.0,9.0,0.0,0.6923076923076923,0.0,0.16666666666666663
SMSM Senanayake,6,8,0,8,0.0,0.0,1.0,3.0,1.0,0.375,0.125,
SN Thakur,58,100,1,100,0.06,0.01,1.0,23.0,42.0,0.23,0.42,0.16666666666666669
SP Narine,116,195,7,195,0.2153846153846153,0.0358974358974358,1.0,28.0,65.0,0.14358974358974358,0.3333333333333333,0.16666666666666624
SR Watson,60,103,7,103,0.4077669902912621,0.0679611650485436,1.0,34.0,46.0,0.3300970873786408,0.44660194174757284,0.16666666666666646
SS Agarwal,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
SS Cottrell,4,6,0,6,0.0,0.0,1.0,4.0,2.0,0.6666666666666666,0.3333333333333333,
SS Sarkar,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
SSB Magala,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
ST Jayasuriya,8,16,1,16,0.375,0.0625,1.0,0.0,3.0,0.0,0.1875,0.16666666666666666
STR Binny,21,27,1,27,0.2222222222222222,0.037037037037037,1.0,8.0,3.0,0.2962962962962963,0.1111111111111111,0.1666666666666665
SW Tait,11,22,1,22,0.2727272727272727,0.0454545454545454,1.0,6.0,12.0,0.2727272727272727,0.5454545454545454,0.1666666666666665
Sachin Baby,2,3,0,3,0.0,0.0,1.0,0.0,2.0,0.0,0.6666666666666666,
Sandeep Sharma,90,153,6,153,0.2352941176470588,0.0392156862745098,1.0,63.0,54.0,0.4117647058823529,0.35294117647058826,0.1666666666666667
Shahbaz Ahmed,14,21,0,21,0.0,0.0,1.0,2.0,4.0,0.09523809523809523,0.19047619047619047,
Shahid Afridi,5,9,0,9,0.0,0.0,1.0,1.0,2.0,0.1111111111111111,0.2222222222222222,
Shakib Al Hasan,43,64,3,64,0.28125,0.046875,1.0,19.0,10.0,0.296875,0.15625,0.16666666666666666
Shashank Singh,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Shivam Mavi,24,33,2,33,0.3636363636363636,0.0606060606060606,1.0,9.0,15.0,0.2727272727272727,0.45454545454545453,0.16666666666666669
Shivam Sharma,3,4,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Shoaib Ahmed,3,5,0,5,0.0,0.0,1.0,1.0,0.0,0.2,0.0,
Shoaib Akhtar,2,5,0,5,0.0,0.0,1.0,5.0,0.0,1.0,0.0,
Shoaib Malik,2,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Sikandar Raza,3,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Simarjeet Singh,6,10,1,10,0.6000000000000001,0.1,1.0,3.0,1.0,0.3,0.1,0.16666666666666666
Sohail Tanvir,8,24,1,24,0.25,0.0416666666666666,1.0,6.0,18.0,0.25,0.75,0.1666666666666664
Suyash Sharma,6,11,1,11,0.5454545454545454,0.0909090909090909,1.0,3.0,1.0,0.2727272727272727,0.09090909090909091,0.16666666666666666
Swapnil Singh,5,7,0,7,0.0,0.0,1.0,5.0,0.0,0.7142857142857143,0.0,
T Henderson,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
T Natarajan,45,76,3,76,0.2368421052631578,0.0394736842105263,1.0,17.0,43.0,0.2236842105263158,0.5657894736842105,0.16666666666666669
T Shamsi,3,3,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
T Stubbs,3,4,1,4,1.5,0.25,1.0,0.0,0.0,0.0,0.0,0.16666666666666666
T Thushara,5,10,1,10,0.6000000000000001,0.1,1.0,3.0,6.0,0.3,0.6,0.16666666666666666
TA Boult,81,128,2,128,0.09375,0.015625,1.0,63.0,47.0,0.4921875,0.3671875,0.16666666666666666
TG Southee,29,56,4,56,0.4285714285714285,0.0714285714285714,1.0,21.0,24.0,0.375,0.42857142857142855,0.16666666666666663
TK Curran,9,13,0,13,0.0,0.0,1.0,1.0,7.0,0.07692307692307693,0.5384615384615384,
TL Suman,4,6,1,6,1.0,0.1666666666666666,1.0,0.0,2.0,0.0,0.3333333333333333,0.1666666666666666
TM Dilshan,4,4,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
TM Head,2,3,1,3,2.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666
TP Sudhindra,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
TS Mills,7,11,0,11,0.0,0.0,1.0,6.0,4.0,0.5454545454545454,0.36363636363636365,
TU Deshpande,24,46,2,46,0.2608695652173913,0.0434782608695652,1.0,15.0,21.0,0.32608695652173914,0.45652173913043476,0.1666666666666666
UT Yadav,88,160,10,160,0.375,0.0625,1.0,60.0,54.0,0.375,0.3375,0.16666666666666666
Umar Gul,6,14,1,14,0.4285714285714285,0.0714285714285714,1.0,5.0,5.0,0.35714285714285715,0.35714285714285715,0.16666666666666663
Umran Malik,16,31,0,31,0.0,0.0,1.0,0.0,5.0,0.0,0.16129032258064516,
V Kaverappa,1,2,0,2,0.0,0.0,1.0,2.0,0.0,1.0,0.0,
V Kohli,3,4,1,4,1.5,0.25,1.0,0.0,1.0,0.0,0.25,0.16666666666666666
V Pratap Singh,7,10,0,10,0.0,0.0,1.0,3.0,4.0,0.3,0.4,
V Sehwag,5,6,0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,
V Shankar,11,12,1,12,0.5,0.0833333333333333,1.0,0.0,2.0,0.0,0.16666666666666666,0.1666666666666666
V Viyaskanth,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
VG Arora,12,20,1,20,0.3,0.05,1.0,12.0,6.0,0.6,0.3,0.16666666666666669
VR Aaron,27,46,1,46,0.1304347826086956,0.0217391304347826,1.0,15.0,13.0,0.32608695652173914,0.2826086956521739,0.16666666666666669
VR Iyer,2,3,0,3,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,
VRV Singh,10,16,3,16,1.125,0.1875,1.0,1.0,11.0,0.0625,0.6875,0.16666666666666666
VS Malik,5,6,0,6,0.0,0.0,1.0,4.0,0.0,0.6666666666666666,0.0,
VY Mahesh,11,21,1,21,0.2857142857142857,0.0476190476190476,1.0,4.0,10.0,0.19047619047619047,0.47619047619047616,0.1666666666666666
Vijaykumar Vyshak,9,17,0,17,0.0,0.0,1.0,2.0,4.0,0.11764705882352941,0.23529411764705882,
WA Mota,4,4,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
WD Parnell,10,16,1,16,0.375,0.0625,1.0,8.0,6.0,0.5,0.375,0.16666666666666666
WG Jacks,2,2,0,2,0.0,0.0,1.0,1.0,0.0,0.5,0.0,
WPUJC Vaas,11,22,0,22,0.0,0.0,1.0,17.0,4.0,0.7727272727272727,0.18181818181818182,
Washington Sundar,26,39,0,39,0.0,0.0,1.0,14.0,1.0,0.358974358974359,0.02564102564102564,
Y Nagar,3,4,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Y Prithvi Raj,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
Y Venugopal Rao,5,7,0,7,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,
YA Abdulla,6,15,0,15,0.0,0.0,1.0,7.0,6.0,0.4666666666666667,0.4,
YK Pathan,27,38,3,38,0.4736842105263157,0.0789473684210526,1.0,14.0,3.0,0.3684210526315789,0.07894736842105263,0.16666666666666663
YS Chahal,122,213,5,213,0.1408450704225352,0.0234741784037558,1.0,18.0,34.0,0.08450704225352113,0.1596244131455399,0.1666666666666662
Yash Dayal,19,31,3,31,0.5806451612903225,0.0967741935483871,1.0,13.0,11.0,0.41935483870967744,0.3548387096774194,0.16666666666666669
Yash Thakur,14,27,2,27,0.4444444444444444,0.074074074074074,1.0,7.0,15.0,0.25925925925925924,0.5555555555555556,0.1666666666666665
Yudhvir Singh,3,4,0,4,0.0,0.0,1.0,3.0,0.0,0.75,0.0,
Yuvraj Singh,13,24,1,24,0.25,0.0416666666666666,1.0,0.0,4.0,0.0,0.16666666666666666,0.1666666666666664
Z Khan,65,113,6,113,0.3185840707964602,0.0530973451327433,1.0,56.0,39.0,0.49557522123893805,0.34513274336283184,0.16666666666666646
