batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
CJ McKay,1,8,15,0,0,1,53.333333333333336,8.0,0.0,0.0
CK Kapugedera,3,16,21,0,0,3,76.19047619047619,5.333333333333333,0.0,13.0
CK Langeveldt,2,8,9,0,1,2,88.88888888888889,4.0,0.0,1.0
CL White,40,769,606,62,28,30,126.8976897689769,25.633333333333333,87.0,246.0
CM Gautam,12,139,117,15,5,8,118.80341880341881,17.375,68.0,44.0
CR Brathwaite,14,180,107,10,16,14,168.22429906542055,12.857142857142858,0.0,140.0
CR Woakes,12,78,77,7,2,5,101.29870129870129,15.6,0.0,52.0
CRD Fernando,2,4,3,0,0,1,133.33333333333331,4.0,0.0,4.0
CV Varun,10,25,45,2,0,2,55.55555555555556,12.5,0.0,24.0
D Brevis,10,230,172,17,16,10,133.72093023255815,23.0,81.0,0.0
D Ferreira,2,8,11,0,0,2,72.72727272727273,4.0,0.0,3.0
D Kalyankrishna,1,3,7,0,0,1,42.857142857142854,3.0,0.0,3.0
D Padikkal,64,1555,1238,170,42,62,125.60581583198707,25.080645161290324,760.0,77.0
D Pretorius,5,44,28,3,3,4,157.14285714285714,11.0,0.0,34.0
D Salunkhe,3,33,24,5,0,1,137.5,33.0,0.0,25.0
D Wiese,11,147,98,12,7,6,150.0,24.5,0.0,109.0
D du Preez,1,10,13,0,0,1,76.92307692307693,10.0,0.0,3.0
DA Miller,122,2833,2002,201,128,83,141.50849150849152,34.13253012048193,98.0,953.0
DA Warner,178,6403,4510,648,225,159,141.97339246119734,40.270440251572325,3222.0,387.0
DAJ Bracewell,1,12,9,1,0,0,133.33333333333331,inf,0.0,12.0
DB Das,20,281,228,22,15,12,123.24561403508771,23.416666666666668,58.0,84.0
DB Ravi Teja,22,331,268,30,9,19,123.50746268656717,17.42105263157895,28.0,109.0
DE Bollinger,4,21,21,1,1,1,100.0,21.0,0.0,21.0
DG Nalkande,2,12,12,0,1,2,100.0,6.0,0.0,0.0
DH Yagnik,16,156,118,21,2,8,132.20338983050848,19.5,0.0,91.0
DJ Bravo,106,1528,1156,118,64,67,132.17993079584775,22.80597014925373,123.0,770.0
DJ Harris,4,111,99,11,5,3,112.12121212121211,37.0,57.0,0.0
DJ Hooda,96,1455,1114,94,61,76,130.61041292639138,19.144736842105264,160.0,323.0
DJ Hussey,56,1265,1004,86,58,45,125.99601593625498,28.11111111111111,134.0,254.0
DJ Jacobs,6,80,74,9,4,6,108.10810810810811,13.333333333333334,80.0,0.0
DJ Malan,1,26,25,1,1,1,104.0,26.0,1.0,0.0
DJ Mitchell,15,351,265,28,10,13,132.45283018867923,27.0,97.0,38.0
DJ Muthuswami,1,1,3,0,0,1,33.33333333333333,1.0,0.0,1.0
DJ Thornely,4,39,49,2,2,3,79.59183673469387,13.0,4.0,0.0
DJ Willey,5,53,60,7,0,3,88.33333333333333,17.666666666666668,6.0,21.0
DJG Sammy,20,295,232,15,18,15,127.15517241379311,19.666666666666668,8.0,112.0
DJM Short,7,115,98,11,5,7,117.34693877551021,16.428571428571427,50.0,0.0
DL Chahar,12,80,57,2,6,7,140.35087719298244,11.428571428571429,0.0,17.0
DL Vettori,16,121,103,11,2,7,117.4757281553398,17.285714285714285,0.0,61.0
DM Bravo,1,6,5,1,0,0,120.0,inf,0.0,6.0
DNT Zoysa,2,11,7,1,0,1,157.14285714285714,11.0,0.0,10.0
DP Conway,22,923,635,100,30,20,145.35433070866142,46.15,392.0,64.0
DP Nannes,2,4,13,0,0,1,30.76923076923077,4.0,0.0,1.0
DP Vijaykumar,1,1,1,0,0,0,100.0,inf,0.0,1.0
DPMD Jayawardene,61,1456,1131,156,35,49,128.73563218390805,29.714285714285715,434.0,277.0
DR Martyn,1,19,24,1,0,2,79.16666666666666,9.5,1.0,4.0
DR Sams,13,44,44,1,3,10,100.0,4.4,1.0,24.0
DR Shorey,2,13,17,0,1,2,76.47058823529412,6.5,0.0,0.0
DR Smith,87,2379,1705,244,117,80,139.5307917888563,29.7375,1209.0,115.0
DS Kulkarni,20,104,106,7,2,9,98.11320754716981,11.555555555555555,0.0,97.0
DS Lehmann,2,18,17,3,0,2,105.88235294117648,9.0,4.0,0.0
DT Christian,38,419,354,21,18,26,118.36158192090396,16.115384615384617,3.0,232.0
DT Patil,2,13,13,1,0,1,100.0,13.0,0.0,0.0
DW Steyn,31,152,150,12,3,21,101.33333333333334,7.238095238095238,0.0,143.0
Dhruv Jurel,22,347,228,29,16,13,152.19298245614036,26.692307692307693,0.0,211.0
E Lewis,26,654,469,62,36,24,139.4456289978678,27.25,420.0,24.0
EJG Morgan,71,1315,1037,102,62,59,126.80810028929605,22.28813559322034,161.0,389.0
ER Dwivedi,2,24,13,2,2,2,184.6153846153846,12.0,5.0,19.0
F Behardien,3,14,13,2,0,2,107.6923076923077,7.0,0.0,14.0
F du Plessis,136,4466,3220,413,162,123,138.69565217391303,36.3089430894309,2090.0,415.0
FA Allen,3,13,18,1,0,2,72.22222222222221,6.5,0.0,4.0
FH Edwards,2,4,5,0,0,1,80.0,4.0,0.0,4.0
FY Fazal,10,167,153,19,1,8,109.15032679738562,20.875,60.0,36.0
Fazalhaq Farooqi,2,3,13,0,0,0,23.076923076923077,inf,0.0,3.0
G Coetzee,5,14,20,0,1,4,70.0,3.5,0.0,9.0
G Gambhir,144,4012,3172,471,56,128,126.48171500630517,31.34375,2156.0,169.0
GB Hogg,4,22,22,1,0,2,100.0,11.0,0.0,22.0
GC Smith,25,689,601,86,9,26,114.64226289517472,26.5,335.0,36.0
GC Viljoen,3,3,5,0,0,2,60.0,1.5,0.0,3.0
GD McGrath,2,4,5,1,0,1,80.0,4.0,0.0,0.0
GD Phillips,8,65,54,3,6,7,120.37037037037037,9.285714285714286,0.0,45.0
GH Vihari,21,269,296,22,1,18,90.87837837837837,14.944444444444445,58.0,47.0
GHS Garton,2,2,4,0,0,1,50.0,2.0,0.0,2.0
GJ Bailey,36,660,530,59,19,29,124.52830188679245,22.75862068965517,131.0,284.0
GJ Maxwell,127,2751,1705,230,159,111,161.34897360703812,24.783783783783782,433.0,424.0
GR Napier,1,15,16,1,0,1,93.75,15.0,0.0,0.0
Gulbadin Naib,1,19,15,1,1,1,126.66666666666666,19.0,0.0,8.0
Gurkeerat Singh,32,511,411,55,11,27,124.33090024330899,18.925925925925927,35.0,201.0
H Das,1,2,5,0,0,1,40.0,2.0,0.0,2.0
H Klaasen,32,987,580,56,64,26,170.17241379310343,37.96153846153846,61.0,305.0
HC Brook,11,186,152,22,4,9,122.36842105263158,20.666666666666668,96.0,29.0
HE van der Dussen,3,22,22,2,0,2,100.0,11.0,0.0,12.0
HF Gurney,1,1,5,0,0,0,20.0,inf,0.0,1.0
HH Gibbs,36,886,781,83,31,32,113.44430217669654,27.6875,447.0,61.0
HH Pandya,128,2521,1707,188,137,88,147.68599882835383,28.647727272727273,168.0,1114.0
HM Amla,16,575,397,60,21,13,144.83627204030228,44.23076923076923,261.0,79.0
HR Shokeen,5,66,63,9,0,3,104.76190476190477,22.0,1.0,18.0
HV Patel,37,249,200,16,15,25,124.50000000000001,9.96,0.0,163.0
Harbhajan Singh,84,795,562,74,41,52,141.4590747330961,15.288461538461538,62.0,544.0
Harmeet Singh,4,18,12,3,0,2,150.0,9.0,0.0,18.0
Harpreet Brar,24,233,182,19,9,12,128.02197802197801,19.416666666666668,0.0,174.0
Harpreet Singh,5,99,89,9,3,4,111.23595505617978,24.75,30.0,15.0
Harshit Rana,3,2,3,0,0,2,66.66666666666666,1.0,0.0,0.0
I Malhotra,1,7,4,1,0,0,175.0,inf,0.0,7.0
I Sharma,21,57,67,4,2,7,85.07462686567165,8.142857142857142,0.0,44.0
I Udana,4,15,11,1,1,3,136.36363636363635,5.0,0.0,15.0
IK Pathan,76,1074,849,83,36,49,126.50176678445231,21.918367346938776,92.0,537.0
IR Jaggi,6,66,88,6,0,5,75.0,13.2,25.0,2.0
IS Sodhi,2,7,17,0,0,2,41.17647058823529,3.5,0.0,2.0
Imran Tahir,8,33,36,5,0,4,91.66666666666666,8.25,0.0,29.0
Iqbal Abdulla,11,75,68,8,1,1,110.29411764705883,75.0,0.0,47.0
Ishan Kishan,99,2635,1914,254,119,91,137.6698014629049,28.956043956043956,1247.0,177.0
J Arunkumar,3,23,22,5,0,3,104.54545454545455,7.666666666666667,23.0,0.0
J Botha,25,375,324,34,5,21,115.74074074074075,17.857142857142858,43.0,128.0
J Fraser-McGurk,9,324,136,32,27,8,238.23529411764704,40.5,260.0,0.0
J Suchith,8,70,57,6,3,4,122.80701754385966,17.5,0.0,46.0
J Syed Mohammad,5,29,26,4,0,2,111.53846153846155,14.5,0.0,20.0
J Theron,4,10,12,1,0,2,83.33333333333334,5.0,0.0,10.0
J Yadav,4,40,36,2,1,2,111.11111111111111,20.0,0.0,25.0
JA Morkel,62,929,637,59,52,38,145.83987441130296,24.44736842105263,18.0,527.0
JA Richardson,3,17,26,2,0,3,65.38461538461539,5.666666666666667,0.0,2.0
JC Archer,23,186,123,11,12,13,151.21951219512195,14.307692307692308,0.0,162.0
JC Buttler,106,3559,2373,354,159,94,149.9789296249473,37.861702127659576,1608.0,403.0
JD Ryder,5,56,48,9,0,5,116.66666666666667,11.2,53.0,0.0
JD Unadkat,27,197,161,16,7,14,122.36024844720497,14.071428571428571,0.0,148.0
JDP Oram,10,106,103,6,5,7,102.9126213592233,15.142857142857142,0.0,50.0
JDS Neesham,10,92,92,6,2,8,100.0,11.5,0.0,32.0
JE Root,1,10,15,1,0,1,66.66666666666666,10.0,10.0,0.0
JEC Franklin,13,264,224,20,7,8,117.85714285714286,33.0,40.0,77.0
JH Kallis,89,2352,2099,248,44,83,112.05335874225821,28.337349397590362,990.0,303.0
JJ Bumrah,25,68,76,5,1,7,89.47368421052632,9.714285714285714,0.0,62.0
JJ Roy,21,614,433,75,21,18,141.8013856812933,34.111111111111114,380.0,34.0
JJ van der Wath,3,18,16,1,1,2,112.5,9.0,0.0,14.0
JL Denly,1,0,1,0,0,1,0.0,0.0,0.0,0.0
JL Pattinson,2,15,13,2,0,1,115.38461538461537,15.0,0.0,15.0
JM Bairstow,50,1587,1079,166,69,48,147.08063021316033,33.0625,864.0,45.0
