batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs
Simarjeet Singh,3,7,8,0,0,1,87.5,7.0,0.0,5.0
Sohail Tanvir,5,35,28,3,1,3,125.0,11.666666666666666,13.0,11.0
Sumit Kumar,3,18,21,2,1,2,85.71428571428571,9.0,0.0,2.0
Sunny Gupta,1,0,1,0,0,1,0.0,0.0,0.0,0.0
Sunny Singh,4,31,24,3,1,3,129.16666666666669,10.333333333333334,3.0,7.0
Swapnil Singh,9,51,44,3,3,5,115.90909090909092,10.2,0.0,26.0
T Banton,2,18,20,1,1,2,90.0,9.0,18.0,0.0
T Henderson,2,11,15,0,1,1,73.33333333333333,11.0,2.0,0.0
T Kohler-Cadmore,3,48,53,7,1,3,90.56603773584906,16.0,47.0,0.0
T Kohli,3,11,19,0,1,3,57.89473684210527,3.6666666666666665,7.0,4.0
T Natarajan,2,3,5,0,0,0,60.0,inf,0.0,3.0
T Shamsi,1,2,4,0,0,0,50.0,inf,0.0,2.0
T Stubbs,17,399,228,26,25,9,175.0,44.333333333333336,10.0,227.0
T Taibu,3,31,26,3,0,3,119.23076923076923,10.333333333333334,0.0,9.0
T Thushara,4,12,18,0,0,2,66.66666666666666,6.0,0.0,12.0
TA Boult,21,83,78,5,3,7,106.41025641025641,11.857142857142858,0.0,67.0
TG Southee,19,120,106,8,4,11,113.20754716981132,10.909090909090908,0.0,104.0
TH David,35,652,379,38,45,23,172.0316622691293,28.347826086956523,0.0,445.0
TK Curran,10,127,105,10,3,5,120.95238095238095,25.4,0.0,58.0
TL Seifert,3,26,22,4,0,3,118.18181818181819,8.666666666666666,24.0,2.0
TL Suman,33,588,488,44,23,24,120.49180327868851,24.5,146.0,96.0
TM Dilshan,44,981,835,116,22,37,117.48502994011976,26.513513513513512,417.0,151.0
TM Head,25,767,436,75,40,20,175.91743119266056,38.35,408.0,93.0
TM Srivastava,3,8,11,0,0,1,72.72727272727273,8.0,0.0,4.0
TR Birt,3,28,29,2,1,3,96.55172413793103,9.333333333333334,0.0,12.0
TS Mills,5,8,13,0,1,4,61.53846153846154,2.0,0.0,6.0
TU Deshpande,3,21,13,2,1,1,161.53846153846155,21.0,0.0,21.0
