bowler,matches,total_wickets,total_runs_conceded,balls_bowled,economy_rate,bowling_average,strike_rate,powerplay_wickets,death_overs_wickets
DP Vijaykumar,4,4,0,4,0.0,0.0,1.0,3.0,1.0
DR Sams,10,15,1,15,0.4,0.06666666666666667,1.0,8.0,2.0
DR Smith,18,27,0,27,0.0,0.0,1.0,5.0,4.0
DS Kulkarni,56,91,2,91,0.13186813186813187,0.02197802197802198,1.0,46.0,20.0
DT Christian,26,36,1,36,0.16666666666666666,0.027777777777777776,1.0,7.0,9.0
DW Steyn,55,97,1,97,0.061855670103092786,0.010309278350515464,1.0,34.0,42.0
FA Allen,2,2,0,2,0.0,0.0,1.0,1.0,0.0
FH Edwards,4,6,0,6,0.0,0.0,1.0,4.0,2.0
FY Fazal,1,1,1,1,6.0,1.0,1.0,0.0,0.0
Fazalhaq Farooqi,4,6,0,6,0.0,0.0,1.0,3.0,1.0
G Coetzee,7,13,0,13,0.0,0.0,1.0,3.0,6.0
GB Hogg,15,25,0,25,0.0,0.0,1.0,5.0,6.0
GC Viljoen,5,8,0,8,0.0,0.0,1.0,3.0,1.0
GD McGrath,9,14,0,14,0.0,0.0,1.0,9.0,2.0
GD Phillips,2,2,0,2,0.0,0.0,1.0,1.0,0.0
GH Vihari,1,1,0,1,0.0,0.0,1.0,1.0,0.0
GHS Garton,3,3,0,3,0.0,0.0,1.0,1.0,1.0
GJ Maxwell,31,41,1,41,0.14634146341463417,0.024390243902439025,1.0,10.0,3.0
GR Napier,1,1,0,1,0.0,0.0,1.0,0.0,0.0
GS Sandhu,1,1,0,1,0.0,0.0,1.0,0.0,1.0
Gagandeep Singh,3,3,0,3,0.0,0.0,1.0,0.0,1.0
Gurkeerat Singh,3,5,0,5,0.0,0.0,1.0,0.0,0.0
HF Gurney,5,7,0,7,0.0,0.0,1.0,2.0,3.0
HH Pandya,45,70,4,70,0.34285714285714286,0.05714285714285714,1.0,13.0,22.0
HR Shokeen,3,5,0,5,0.0,0.0,1.0,2.0,0.0
HV Patel,80,149,6,149,0.24161073825503354,0.040268456375838924,1.0,12.0,74.0
Harbhajan Singh,90,154,7,154,0.2727272727272727,0.045454545454545456,1.0,29.0,20.0
Harmeet Singh,15,25,2,25,0.48,0.08,1.0,6.0,6.0
Harpreet Brar,15,25,0,25,0.0,0.0,1.0,0.0,3.0
Harshit Rana,15,27,1,27,0.2222222222222222,0.037037037037037035,1.0,10.0,6.0
I Sharma,60,90,1,90,0.06666666666666667,0.011111111111111112,1.0,55.0,19.0
I Udana,6,8,0,8,0.0,0.0,1.0,2.0,2.0
IC Pandey,14,18,0,18,0.0,0.0,1.0,11.0,1.0
IC Porel,1,1,0,1,0.0,0.0,1.0,0.0,0.0
IK Pathan,59,93,10,93,0.6451612903225806,0.10752688172043011,1.0,29.0,39.0
IS Sodhi,7,9,0,9,0.0,0.0,1.0,2.0,0.0
Imran Tahir,44,86,2,86,0.13953488372093023,0.023255813953488372,1.0,3.0,23.0
Iqbal Abdulla,23,40,0,40,0.0,0.0,1.0,13.0,4.0
J Botha,16,22,0,22,0.0,0.0,1.0,2.0,7.0
J Little,7,13,1,13,0.46153846153846156,0.07692307692307693,1.0,3.0,2.0
J Suchith,16,20,0,20,0.0,0.0,1.0,3.0,1.0
J Syed Mohammad,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,1.0,0.0
J Theron,7,11,0,11,0.0,0.0,1.0,2.0,4.0
J Yadav,8,9,0,9,0.0,0.0,1.0,4.0,0.0
JA Morkel,56,91,4,91,0.26373626373626374,0.04395604395604396,1.0,33.0,35.0
JA Richardson,2,3,0,3,0.0,0.0,1.0,0.0,1.0
JC Archer,29,49,0,49,0.0,0.0,1.0,17.0,20.0
JD Ryder,3,5,0,5,0.0,0.0,1.0,0.0,0.0
JD Unadkat,60,105,5,105,0.2857142857142857,0.047619047619047616,1.0,21.0,50.0
JDP Oram,6,12,2,12,1.0,0.16666666666666666,1.0,3.0,8.0
JDS Neesham,5,8,0,8,0.0,0.0,1.0,1.0,0.0
JEC Franklin,6,8,0,8,0.0,0.0,1.0,1.0,1.0
JH Kallis,43,68,2,68,0.1764705882352941,0.029411764705882353,1.0,19.0,22.0
JJ Bumrah,90,182,4,182,0.13186813186813187,0.02197802197802198,1.0,39.0,89.0
JJ van der Wath,2,3,0,3,0.0,0.0,1.0,0.0,2.0
JL Pattinson,6,11,0,11,0.0,0.0,1.0,4.0,3.0
JM Kemp,1,3,0,3,0.0,0.0,1.0,0.0,0.0
JO Holder,29,59,2,59,0.2033898305084746,0.03389830508474576,1.0,12.0,24.0
JP Behrendorff,12,22,1,22,0.2727272727272727,0.045454545454545456,1.0,11.0,8.0
JP Duminy,16,22,0,22,0.0,0.0,1.0,3.0,3.0
JP Faulkner,36,70,9,70,0.7714285714285714,0.12857142857142856,1.0,17.0,35.0
JPR Scantlebury-Searles,2,2,0,2,0.0,0.0,1.0,0.0,0.0
JR Hazlewood,18,36,0,36,0.0,0.0,1.0,14.0,14.0
JR Hopes,11,13,0,13,0.0,0.0,1.0,1.0,4.0
JW Hastings,2,3,0,3,0.0,0.0,1.0,1.0,1.0
Jaskaran Singh,4,6,0,6,0.0,0.0,1.0,2.0,3.0
Joginder Sharma,10,13,0,13,0.0,0.0,1.0,0.0,3.0
K Gowtham,17,22,1,22,0.2727272727272727,0.045454545454545456,1.0,11.0,0.0
K Kartikeya,7,10,0,10,0.0,0.0,1.0,1.0,0.0
K Khejroliya,3,5,0,5,0.0,0.0,1.0,0.0,3.0
K Rabada,64,126,2,126,0.09523809523809523,0.015873015873015872,1.0,35.0,55.0
K Santokie,2,3,0,3,0.0,0.0,1.0,1.0,1.0
K Yadav,2,2,0,2,0.0,0.0,1.0,0.0,2.0
KA Jamieson,6,9,0,9,0.0,0.0,1.0,4.0,2.0
KA Maharaj,1,2,0,2,0.0,0.0,1.0,0.0,0.0
KA Pollard,53,76,4,76,0.3157894736842105,0.05263157894736842,1.0,1.0,21.0
KC Cariappa,6,8,0,8,0.0,0.0,1.0,0.0,0.0
KH Pandya,48,80,2,80,0.15000000000000002,0.025,1.0,16.0,12.0
KJ Abbott,2,2,0,2,0.0,0.0,1.0,0.0,0.0
KK Ahmed,44,78,1,78,0.07692307692307693,0.01282051282051282,1.0,27.0,33.0
KK Cooper,17,35,2,35,0.34285714285714286,0.05714285714285714,1.0,4.0,19.0
KL Nagarkoti,4,5,0,5,0.0,0.0,1.0,0.0,1.0
KM Asif,5,7,0,7,0.0,0.0,1.0,3.0,0.0
KMA Paul,4,10,1,10,0.6000000000000001,0.1,1.0,0.0,4.0
KMDN Kulasekara,2,2,0,2,0.0,0.0,1.0,0.0,2.0
KP Appanna,6,10,1,10,0.6000000000000001,0.1,1.0,0.0,0.0
KP Pietersen,7,9,0,9,0.0,0.0,1.0,1.0,1.0
KR Sen,8,14,0,14,0.0,0.0,1.0,2.0,4.0
KT Maphaka,1,1,0,1,0.0,0.0,1.0,1.0,0.0
KV Sharma,50,81,10,81,0.7407407407407407,0.12345679012345678,1.0,7.0,5.0
KW Richardson,11,19,1,19,0.3157894736842105,0.05263157894736842,1.0,9.0,8.0
Kamran Khan,5,14,1,14,0.42857142857142855,0.07142857142857142,1.0,6.0,5.0
Karanveer Singh,7,14,0,14,0.0,0.0,1.0,0.0,4.0
Kartik Tyagi,13,16,1,16,0.375,0.0625,1.0,5.0,6.0
Kuldeep Yadav,52,90,3,90,0.2,0.03333333333333333,1.0,0.0,17.0
L Ablish,2,5,0,5,0.0,0.0,1.0,1.0,3.0
L Balaji,46,78,4,78,0.3076923076923077,0.05128205128205128,1.0,15.0,30.0
L Ngidi,13,28,2,28,0.42857142857142855,0.07142857142857142,1.0,8.0,13.0
L Wood,1,1,0,1,0.0,0.0,1.0,0.0,0.0
LA Carseldine,1,1,0,1,0.0,0.0,1.0,1.0,0.0
LB Williams,1,1,0,1,0.0,0.0,1.0,0.0,0.0
LE Plunkett,2,4,0,4,0.0,0.0,1.0,1.0,2.0
LH Ferguson,31,57,4,57,0.42105263157894735,0.07017543859649122,1.0,17.0,17.0
LI Meriwala,1,1,0,1,0.0,0.0,1.0,0.0,0.0
LMP Simmons,1,1,0,1,0.0,0.0,1.0,0.0,0.0
LR Shukla,13,17,0,17,0.0,0.0,1.0,0.0,8.0
LS Livingstone,7,11,0,11,0.0,0.0,1.0,1.0,0.0
Lalit Yadav,9,11,0,11,0.0,0.0,1.0,2.0,1.0
M Ashwin,24,35,0,35,0.0,0.0,1.0,2.0,6.0
M Jansen,14,22,1,22,0.2727272727272727,0.045454545454545456,1.0,14.0,2.0
M Kartik,22,30,4,30,0.8,0.13333333333333333,1.0,4.0,4.0
M Markande,22,37,1,37,0.16216216216216217,0.02702702702702703,1.0,0.0,1.0
M Morkel,47,80,9,80,0.675,0.1125,1.0,33.0,33.0
M Muralitharan,40,63,0,63,0.0,0.0,1.0,3.0,13.0
M Ntini,4,8,1,8,0.75,0.125,1.0,5.0,3.0
M Pathirana,19,38,1,38,0.15789473684210525,0.02631578947368421,1.0,0.0,26.0
M Prasidh Krishna,34,54,2,54,0.2222222222222222,0.037037037037037035,1.0,16.0,23.0
M Siddharth,1,1,0,1,0.0,0.0,1.0,1.0,0.0
M Theekshana,15,25,0,25,0.0,0.0,1.0,9.0,8.0
M de Lange,2,3,0,3,0.0,0.0,1.0,0.0,2.0
MA Khote,1,2,0,2,0.0,0.0,1.0,0.0,1.0
MA Starc,30,59,2,59,0.2033898305084746,0.03389830508474576,1.0,20.0,30.0
MA Wood,4,11,0,11,0.0,0.0,1.0,2.0,6.0
MC Henriques,30,44,2,44,0.2727272727272727,0.045454545454545456,1.0,8.0,3.0
MF Maharoof,15,33,2,33,0.36363636363636365,0.06060606060606061,1.0,11.0,10.0
MG Bracewell,4,6,0,6,0.0,0.0,1.0,3.0,0.0
MG Johnson,36,61,2,61,0.19672131147540983,0.03278688524590164,1.0,25.0,26.0
MJ Henry,2,3,1,3,2.0,0.3333333333333333,1.0,1.0,2.0
MJ McClenaghan,43,75,0,75,0.0,0.0,1.0,32.0,28.0
MJ Santner,13,16,0,16,0.0,0.0,1.0,2.0,1.0
MK Lomror,2,2,1,2,3.0,0.5,1.0,1.0,0.0
MK Tiwary,1,1,0,1,0.0,0.0,1.0,0.0,1.0
MM Ali,26,40,1,40,0.15000000000000002,0.025,1.0,2.0,2.0
MM Patel,37,74,1,74,0.08108108108108109,0.013513513513513514,1.0,25.0,20.0
MM Sharma,75,144,9,144,0.375,0.0625,1.0,35.0,72.0
MP Stoinis,31,45,0,45,0.0,0.0,1.0,8.0,15.0
MP Yadav,3,8,0,8,0.0,0.0,1.0,2.0,1.0
MR Marsh,13,23,0,23,0.0,0.0,1.0,6.0,5.0
MS Gony,24,35,2,35,0.34285714285714286,0.05714285714285714,1.0,18.0,4.0
Mashrafe Mortaza,1,1,1,1,6.0,1.0,1.0,0.0,1.0
Mayank Dagar,2,2,0,2,0.0,0.0,1.0,0.0,0.0
Mohammad Asif,6,9,1,9,0.6666666666666666,0.1111111111111111,1.0,3.0,5.0
Mohammad Hafeez,2,2,0,2,0.0,0.0,1.0,0.0,0.0
Mohammad Nabi,10,15,0,15,0.0,0.0,1.0,7.0,2.0
Mohammed Shami,83,144,7,144,0.2916666666666667,0.04861111111111111,1.0,51.0,69.0
Mohammed Siraj,58,96,5,96,0.3125,0.052083333333333336,1.0,37.0,38.0
Mohsin Khan,17,27,0,27,0.0,0.0,1.0,11.0,10.0
Mujeeb Ur Rahman,11,20,0,20,0.0,0.0,1.0,5.0,5.0
Mukesh Choudhary,8,16,0,16,0.0,0.0,1.0,11.0,2.0
Mukesh Kumar,16,31,8,31,1.5483870967741935,0.25806451612903225,1.0,5.0,16.0
Mustafizur Rahman,40,70,3,70,0.2571428571428571,0.04285714285714286,1.0,15.0,37.0
N Burger,5,7,0,7,0.0,0.0,1.0,4.0,1.0
N Rana,7,10,0,10,0.0,0.0,1.0,0.0,2.0
N Thushara,4,8,0,8,0.0,0.0,1.0,6.0,2.0
NB Singh,1,1,0,1,0.0,0.0,1.0,1.0,0.0
ND Doshi,1,1,0,1,0.0,0.0,1.0,0.0,1.0
NLTC Perera,16,26,0,26,0.0,0.0,1.0,4.0,16.0
NM Coulter-Nile,26,52,3,52,0.34615384615384615,0.057692307692307696,1.0,15.0,22.0
NT Ellis,11,19,1,19,0.3157894736842105,0.05263157894736842,1.0,4.0,5.0
Navdeep Saini,17,26,0,26,0.0,0.0,1.0,9.0,12.0
Naveen-ul-Haq,12,26,0,26,0.0,0.0,1.0,6.0,11.0
Nithish Kumar Reddy,3,4,1,4,1.5,0.25,1.0,0.0,1.0
Noor Ahmad,14,24,1,24,0.25,0.041666666666666664,1.0,1.0,4.0
O Thomas,3,5,0,5,0.0,0.0,1.0,2.0,2.0
OC McCoy,6,11,0,11,0.0,0.0,1.0,0.0,8.0
OF Smith,4,7,0,7,0.0,0.0,1.0,1.0,4.0
P Amarnath,5,7,0,7,0.0,0.0,1.0,0.0,0.0
P Awana,22,39,1,39,0.15384615384615385,0.02564102564102564,1.0,14.0,14.0
P Dubey,1,1,0,1,0.0,0.0,1.0,0.0,0.0
P Kumar,63,96,3,96,0.1875,0.03125,1.0,40.0,39.0
P Negi,25,38,3,38,0.47368421052631576,0.07894736842105263,1.0,3.0,8.0
P Parameswaran,3,5,0,5,0.0,0.0,1.0,1.0,3.0
P Sahu,2,3,0,3,0.0,0.0,1.0,0.0,0.0
P Suyal,2,2,0,2,0.0,0.0,1.0,1.0,0.0
PC Valthaty,4,7,0,7,0.0,0.0,1.0,0.0,2.0
PD Collingwood,4,5,0,5,0.0,0.0,1.0,0.0,3.0
PH Solanki,1,2,0,2,0.0,0.0,1.0,0.0,1.0
PJ Cummins,40,66,1,66,0.09090909090909091,0.015151515151515152,1.0,21.0,20.0
PJ Sangwan,29,44,2,44,0.2727272727272727,0.045454545454545456,1.0,16.0,5.0
PM Sarvesh Kumar,1,1,0,1,0.0,0.0,1.0,0.0,0.0
PP Chawla,125,198,6,198,0.18181818181818182,0.030303030303030304,1.0,21.0,29.0
PP Ojha,54,91,3,91,0.19780219780219782,0.03296703296703297,1.0,6.0,17.0
PV Tambe,18,28,1,28,0.21428571428571427,0.03571428571428571,1.0,3.0,1.0
PVD Chameera,6,11,1,11,0.5454545454545454,0.09090909090909091,1.0,7.0,3.0
PWH de Silva,20,36,0,36,0.0,0.0,1.0,4.0,8.0
Pankaj Singh,6,11,0,11,0.0,0.0,1.0,8.0,1.0
Parvez Rasool,3,3,0,3,0.0,0.0,1.0,1.0,0.0
R Ashwin,125,189,9,189,0.2857142857142857,0.047619047619047616,1.0,49.0,22.0
R Bhatia,46,78,4,78,0.3076923076923077,0.05128205128205128,1.0,0.0,18.0
R Dhawan,19,27,0,27,0.0,0.0,1.0,5.0,4.0
R McLaren,9,13,1,13,0.46153846153846156,0.07692307692307693,1.0,4.0,6.0
R Ninan,2,3,0,3,0.0,0.0,1.0,0.0,0.0
R Parag,5,5,0,5,0.0,0.0,1.0,1.0,0.0
R Powell,1,1,0,1,0.0,0.0,1.0,0.0,0.0
R Rampaul,10,15,1,15,0.4,0.06666666666666667,1.0,9.0,4.0
R Sai Kishore,8,13,0,13,0.0,0.0,1.0,1.0,2.0
R Sathish,4,6,1,6,1.0,0.16666666666666666,1.0,0.0,1.0
R Sharma,6,7,0,7,0.0,0.0,1.0,0.0,0.0
R Shepherd,3,6,1,6,1.0,0.16666666666666666,1.0,2.0,2.0
R Shukla,5,7,0,7,0.0,0.0,1.0,4.0,2.0
R Tewatia,23,36,8,36,1.3333333333333333,0.2222222222222222,1.0,0.0,4.0
R Vinay Kumar,55,100,8,100,0.48,0.08,1.0,27.0,44.0
RA Jadeja,93,158,2,158,0.0759493670886076,0.012658227848101266,1.0,5.0,23.0
RD Chahar,47,76,1,76,0.07894736842105263,0.013157894736842105,1.0,3.0,8.0
RE van der Merwe,15,20,1,20,0.30000000000000004,0.05,1.0,4.0,3.0
RG More,1,1,0,1,0.0,0.0,1.0,0.0,0.0
RG Sharma,9,16,1,16,0.375,0.0625,1.0,2.0,2.0
RJ Gleeson,1,1,0,1,0.0,0.0,1.0,1.0,0.0
RJ Harris,23,43,1,43,0.13953488372093023,0.023255813953488372,1.0,14.0,23.0
RJ Peterson,1,3,0,3,0.0,0.0,1.0,0.0,0.0
RJW Topley,4,5,0,5,0.0,0.0,1.0,2.0,2.0
RN ten Doeschate,3,3,0,3,0.0,0.0,1.0,0.0,0.0
RP Meredith,15,21,0,21,0.0,0.0,1.0,2.0,11.0
RP Singh,46,83,2,83,0.14457831325301207,0.024096385542168676,1.0,27.0,48.0
RR Powar,9,13,1,13,0.46153846153846156,0.07692307692307693,1.0,6.0,0.0
RR Raje,4,7,0,7,0.0,0.0,1.0,0.0,0.0
RS Bopara,8,13,0,13,0.0,0.0,1.0,0.0,2.0
RS Hangargekar,1,3,0,3,0.0,0.0,1.0,1.0,1.0
Ramandeep Singh,3,6,0,6,0.0,0.0,1.0,0.0,3.0
Rashid Khan,96,157,3,157,0.11464968152866242,0.01910828025477707,1.0,15.0,28.0
Rasikh Salam,4,9,0,9,0.0,0.0,1.0,0.0,3.0
Ravi Bishnoi,43,68,0,68,0.0,0.0,1.0,3.0,8.0
S Aravind,25,45,0,45,0.0,0.0,1.0,20.0,13.0
S Badree,7,11,0,11,0.0,0.0,1.0,7.0,0.0
S Dhawan,3,3,0,3,0.0,0.0,1.0,1.0,0.0
S Dube,3,6,1,6,1.0,0.16666666666666666,1.0,0.0,3.0
S Gopal,32,53,0,53,0.0,0.0,1.0,8.0,1.0
S Kaul,37,61,3,61,0.29508196721311475,0.04918032786885246,1.0,13.0,28.0
S Kaushik,3,6,0,6,0.0,0.0,1.0,0.0,0.0
S Ladda,4,5,0,5,0.0,0.0,1.0,1.0,3.0
S Lamichhane,8,14,2,14,0.8571428571428571,0.14285714285714285,1.0,5.0,0.0
S Nadeem,37,51,2,51,0.23529411764705882,0.0392156862745098,1.0,10.0,2.0
S Narwal,2,6,0,6,0.0,0.0,1.0,4.0,2.0
S Randiv,5,8,1,8,0.75,0.125,1.0,0.0,2.0
S Sandeep Warrier,4,8,0,8,0.0,0.0,1.0,8.0,0.0
S Sreesanth,22,36,1,36,0.16666666666666666,0.027777777777777776,1.0,22.0,7.0
S Tyagi,5,6,0,6,0.0,0.0,1.0,5.0,0.0
S Vidyut,1,1,0,1,0.0,0.0,1.0,0.0,0.0
SA Abbott,1,1,0,1,0.0,0.0,1.0,1.0,0.0
SB Bangar,4,6,0,6,0.0,0.0,1.0,2.0,0.0
