batsman,bowler,balls_faced,runs_scored,dismissals,strike_rate,avg_dismissal_type,bowler_type
AB McDonald,SW Tait,4,6,0,150.0,,Unknown
AB McDonald,UT Yadav,4,1,0,25.0,,Unknown
AB de Villiers,A Ashish Reddy,18,46,0,255.55555555555554,,Unknown
AB de Villiers,A Chandila,11,26,0,236.36363636363637,,Unknown
AB de Villiers,A Flintoff,12,34,0,283.33333333333337,,Unknown
AB de Villiers,A Kumble,41,39,0,95.1219512195122,,Unknown
AB de Villiers,A Mishra,37,40,1,108.10810810810811,caught,Unknown
AB de Villiers,A Nehra,23,43,2,186.95652173913044,"bowled, lbw",Unknown
AB de Villiers,A Nortje,11,16,2,145.45454545454547,"run out, caught",Unknown
AB de Villiers,A Singh,7,11,0,157.14285714285714,,Unknown
AB de Villiers,A Symonds,12,15,0,125.0,,Unknown
AB de Villiers,A Uniyal,1,1,0,100.0,,Unknown
AB de Villiers,A Zampa,3,1,1,33.33333333333333,caught,Unknown
AB de Villiers,AB Agarkar,5,6,0,120.0,,Unknown
AB de Villiers,AB Dinda,1,1,0,100.0,,Unknown
AB de Villiers,AD Mascarenhas,13,8,1,61.53846153846154,caught,Unknown
AB de Villiers,AD Russell,39,87,1,223.0769230769231,bowled,Unknown
AB de Villiers,AG Murtaza,18,18,1,100.0,lbw,Unknown
AB de Villiers,AJ Tye,21,23,1,109.52380952380953,caught,Unknown
AB de Villiers,AN Ahmed,8,10,0,125.0,,Unknown
AB de Villiers,AR Patel,70,71,2,101.42857142857142,caught,Unknown
AB de Villiers,AS Rajpoot,15,34,0,226.66666666666666,,Unknown
AB de Villiers,AS Raut,5,10,0,200.0,,Unknown
AB de Villiers,Abhishek Sharma,3,2,0,66.66666666666666,,Unknown
AB de Villiers,Anand Rajan,7,17,0,242.85714285714283,,Unknown
AB de Villiers,Ankit Sharma,20,39,0,195.0,,Unknown
AB de Villiers,Ankit Soni,5,3,0,60.0,,Unknown
AB de Villiers,Anureet Singh,9,10,0,111.11111111111111,,Unknown
AB de Villiers,Arshdeep Singh,2,6,1,300.0,run out,Unknown
AB de Villiers,Avesh Khan,12,9,0,75.0,,Unknown
AB de Villiers,Azhar Mahmood,17,20,1,117.64705882352942,caught,Unknown
AB de Villiers,B Akhil,14,16,0,114.28571428571428,,Unknown
AB de Villiers,B Kumar,35,54,3,154.2857142857143,"bowled, caught, run out",Unknown
AB de Villiers,B Laughlin,7,13,0,185.71428571428572,,Unknown
AB de Villiers,B Lee,3,5,0,166.66666666666669,,Unknown
AB de Villiers,BA Stokes,10,4,0,40.0,,Unknown
AB de Villiers,BB Sran,17,19,1,111.76470588235294,caught,Unknown
AB de Villiers,Basil Thampi,7,16,0,228.57142857142856,,Unknown
AB de Villiers,Bipul Sharma,5,4,1,80.0,caught,Unknown
AB de Villiers,CH Morris,35,71,0,202.85714285714283,,Unknown
AB de Villiers,CJ Dala,1,1,0,100.0,,Unknown
AB de Villiers,CL White,2,1,1,50.0,caught,Unknown
AB de Villiers,CR Brathwaite,1,0,1,0.0,caught,Unknown
AB de Villiers,CR Woakes,4,6,0,150.0,,Unknown
AB de Villiers,CV Varun,14,17,0,121.42857142857142,,Unknown
AB de Villiers,DAJ Bracewell,9,16,0,177.77777777777777,,Unknown
AB de Villiers,DE Bollinger,4,9,0,225.0,,Unknown
AB de Villiers,DJ Bravo,47,72,1,153.19148936170214,bowled,Unknown
AB de Villiers,DJ Hooda,1,4,0,400.0,,Unknown
AB de Villiers,DJ Hussey,13,23,1,176.9230769230769,caught,Unknown
AB de Villiers,DJG Sammy,11,34,0,309.09090909090907,,Unknown
