city,matches_played,win_bat_first,win_bowl_first,batting_first_total_runs,batting_second_total_runs,batting_first_wickets,batting_second_wickets,pace_wickets,spin_wickets,batting_first_avg_runs,batting_second_avg_runs,batting_first_avg_wickets,batting_second_avg_wickets
0,37,8,11,5879,5426,223,195,0.0,422,158.8918918918919,146.64864864864865,6.027027027027027,5.27027027027027
1,36,4,14,6176,5720,229,196,0.0,429,171.55555555555554,158.88888888888889,6.361111111111111,5.444444444444445
10,87,17,27,14851,13486,521,516,0.0,1039,170.70114942528735,155.01149425287358,5.988505747126437,5.931034482758621
11,13,1,5,2389,2023,66,94,0.0,160,183.76923076923077,155.6153846153846,5.076923076923077,7.230769230769231
12,13,1,6,2031,1958,85,68,0.0,153,156.23076923076923,150.6153846153846,6.538461538461538,5.230769230769231
13,15,6,3,2280,2073,107,94,0.0,201,152.0,138.2,7.133333333333334,6.266666666666667
14,3,2,0,442,357,19,19,0.0,38,147.33333333333334,119.0,6.333333333333333,6.333333333333333
15,3,0,0,540,479,18,21,0.0,39,180.0,159.66666666666666,6.0,7.0
16,75,10,18,12277,11447,468,403,0.0,871,163.69333333333333,152.62666666666667,6.24,5.373333333333333
17,7,0,5,1168,1150,45,24,0.0,69,166.85714285714286,164.28571428571428,6.428571428571429,3.4285714285714284
18,53,8,19,8606,7917,300,278,0.0,578,162.37735849056602,149.37735849056602,5.660377358490566,5.245283018867925
19,8,0,3,1152,1140,52,40,0.0,92,144.0,142.5,6.5,5.0
2,59,3,32,9786,8709,357,328,0.0,687,165.864406779661,147.61016949152543,6.0508474576271185,5.559322033898305
20,4,0,4,645,653,31,18,0.0,49,161.25,163.25,7.75,4.5
21,3,1,1,474,423,19,20,0.0,39,158.0,141.0,6.333333333333333,6.666666666666667
22,91,11,37,15182,14010,571,471,0.0,1042,166.83516483516485,153.95604395604394,6.274725274725275,5.175824175824176
23,13,4,4,2191,1978,85,84,0.0,169,168.53846153846155,152.15384615384616,6.538461538461538,6.461538461538462
24,5,0,2,837,838,43,36,0.0,79,167.4,167.6,8.6,7.2
25,162,21,65,27689,25951,1004,970,0.0,1976,170.91975308641975,160.19135802469137,6.197530864197531,5.987654320987654
26,3,1,0,448,434,24,24,0.0,48,149.33333333333334,144.66666666666666,8.0,8.0
27,9,2,3,1514,1351,58,61,0.0,119,168.22222222222223,150.11111111111111,6.444444444444445,6.777777777777778
28,7,3,0,1113,920,33,44,0.0,77,159.0,131.42857142857142,4.714285714285714,6.285714285714286
29,35,4,16,5933,5261,202,226,0.0,428,169.5142857142857,150.31428571428572,5.771428571428571,6.457142857142857
3,28,1,13,5294,5052,173,177,0.0,350,189.07142857142858,180.42857142857142,6.178571428571429,6.321428571428571
30,5,1,2,714,714,32,19,0.0,51,142.8,142.8,6.4,3.8
31,10,0,4,1689,1627,62,45,0.0,109,168.9,162.7,6.2,4.5
32,6,1,3,873,850,35,35,0.0,70,145.5,141.66666666666666,5.833333333333333,5.833333333333333
33,10,1,6,1369,1290,69,59,0.0,128,136.9,129.0,6.9,5.9
34,15,4,4,2510,2036,94,97,0.0,191,167.33333333333334,135.73333333333332,6.266666666666667,6.466666666666667
35,51,8,12,8586,7740,285,294,0.0,586,168.35294117647058,151.76470588235293,5.588235294117647,5.764705882352941
4,2,1,1,270,259,12,13,0.0,25,135.0,129.5,6.0,6.5
5,7,3,1,976,788,50,42,0.0,93,139.42857142857142,112.57142857142857,7.142857142857143,6.0
6,12,3,5,1858,1795,76,57,0.0,133,154.83333333333334,149.58333333333334,6.333333333333333,4.75
7,58,6,21,9846,9177,348,309,0.0,657,169.75862068965517,158.22413793103448,6.0,5.327586206896552
8,81,25,15,13314,12197,486,484,0.0,973,164.37037037037038,150.58024691358025,6.0,5.9753086419753085
9,6,1,3,988,931,38,33,0.0,71,164.66666666666666,155.16666666666666,6.333333333333333,5.5
