batter,matches,total_runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_average,powerplay_runs,death_overs_runs,StrikeRate_Powerplay,StrikeRate_DeathOvers,Boundary_Percentage,Impact
BB Sran,5,9,12,0,0,1,75.0,9.0,0.0,8.0,0.0,66.66666666666666,0.0,6.75
BCJ Cutting,17,238,137,15,19,11,173.72262773722628,21.63636363636364,0.0,208.0,0.0,151.82481751824815,73.10924369747899,37.5872594558726
BE Hendricks,2,1,3,0,0,1,33.33333333333333,1.0,0.0,1.0,0.0,33.33333333333333,0.0,0.33333333333333326
BJ Haddin,1,18,11,2,1,1,163.63636363636363,18.0,18.0,0.0,163.63636363636365,0.0,77.77777777777779,29.45454545454545
BJ Hodge,46,1074,832,93,34,33,129.08653846153845,32.54545454545455,108.0,389.0,12.980769230769232,46.75480769230769,53.63128491620112,42.0118006993007
BJ Rohrer,6,173,115,19,5,5,150.43478260869566,34.6,0.0,73.0,0.0,63.47826086956522,61.27167630057804,52.0504347826087
BMAJ Mendis,3,23,27,0,0,3,85.18518518518519,7.666666666666667,1.0,0.0,3.7037037037037033,0.0,0.0,6.530864197530865
BR Dunk,3,40,33,7,0,3,121.21212121212122,13.333333333333334,40.0,0.0,121.21212121212122,0.0,70.0,16.161616161616163
BR Sharath,1,2,5,0,0,1,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8
Basil Thampi,7,32,33,1,1,2,96.96969696969695,16.0,0.0,29.0,0.0,87.87878787878788,31.25,15.515151515151512
Bipul Sharma,16,152,103,8,7,6,147.5728155339806,25.33333333333333,0.0,118.0,0.0,114.5631067961165,48.68421052631579,37.38511326860841
C Green,28,699,452,62,31,20,154.64601769911502,34.95,190.0,151.0,42.0353982300885,33.4070796460177,62.08869814020028,54.048783185840705
C Madan,1,14,17,3,0,1,82.35294117647058,14.0,14.0,0.0,82.35294117647058,0.0,85.71428571428571,11.52941176470588
C Munro,11,177,139,19,8,9,127.33812949640289,19.666666666666668,131.0,4.0,94.24460431654677,2.877697841726619,70.05649717514125,25.043165467625904
C Nanda,1,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C Sakariya,7,20,29,3,0,5,68.96551724137932,4.0,0.0,19.0,0.0,65.51724137931035,60.0,2.7586206896551726
C de Grandhomme,21,297,219,18,17,15,135.6164383561644,19.8,1.0,130.0,0.45662100456621,59.3607305936073,58.58585858585859,26.85205479452055
CA Ingram,14,192,166,21,5,12,115.66265060240964,16.0,14.0,53.0,8.433734939759036,31.92771084337349,59.375,18.50602409638554
CA Lynn,42,1317,930,131,65,39,141.61290322580643,33.76923076923077,773.0,30.0,83.11827956989248,3.225806451612903,69.40015186028855,47.821588089330014
CA Pujara,22,390,381,50,4,18,102.36220472440944,21.666666666666668,215.0,40.0,56.43044619422572,10.498687664041995,57.43589743589743,22.178477690288716
CH Gayle,135,4540,3056,379,314,122,148.56020942408378,37.21311475409836,2175.0,372.0,71.17146596858639,12.172774869109947,74.8898678414097,55.28388121191315
CH Morris,48,607,388,41,34,29,156.44329896907217,20.93103448275862,17.0,446.0,4.381443298969072,114.94845360824742,60.62602965403624,32.74520085318166
CJ Anderson,29,538,416,40,31,22,129.3269230769231,24.454545454545453,52.0,142.0,12.5,34.13461538461539,64.31226765799256,31.62631118881119
CJ Jordan,12,81,74,3,3,9,109.45945945945944,9.0,0.0,69.0,0.0,93.24324324324324,37.03703703703704,9.851351351351349
CJ McKay,1,8,15,0,0,1,53.333333333333336,8.0,0.0,0.0,0.0,0.0,0.0,4.266666666666667
CK Kapugedera,3,16,21,0,0,3,76.19047619047619,5.333333333333333,0.0,13.0,0.0,61.904761904761905,0.0,4.063492063492063
CK Langeveldt,2,8,9,0,1,2,88.88888888888889,4.0,0.0,1.0,0.0,11.11111111111111,75.0,3.5555555555555554
CL White,40,769,606,62,28,30,126.8976897689769,25.633333333333333,87.0,246.0,14.356435643564355,40.5940594059406,54.0962288686606,32.52810781078108
CM Gautam,12,139,117,15,5,8,118.8034188034188,17.375,68.0,44.0,58.119658119658126,37.60683760683761,64.74820143884892,20.642094017094013
CR Brathwaite,14,180,107,10,16,14,168.22429906542055,12.857142857142858,0.0,140.0,0.0,130.8411214953271,75.55555555555556,21.628838451268358
CR Woakes,12,78,77,7,2,5,101.29870129870127,15.6,0.0,52.0,0.0,67.53246753246754,51.28205128205128,15.802597402597398
CRD Fernando,2,4,3,0,0,1,133.33333333333331,4.0,0.0,4.0,0.0,133.33333333333331,0.0,5.333333333333332
CV Varun,10,25,45,2,0,2,55.55555555555556,12.5,0.0,24.0,0.0,53.333333333333336,32.0,6.944444444444445
D Brevis,10,230,172,17,16,10,133.72093023255815,23.0,81.0,0.0,47.093023255813954,0.0,71.30434782608695,30.755813953488374
D Ferreira,2,8,11,0,0,2,72.72727272727273,4.0,0.0,3.0,0.0,27.27272727272727,0.0,2.909090909090909
D Kalyankrishna,1,3,7,0,0,1,42.85714285714285,3.0,0.0,3.0,0.0,42.857142857142854,0.0,1.2857142857142856
D Padikkal,64,1555,1238,170,42,62,125.60581583198709,25.080645161290324,760.0,77.0,61.389337641357024,6.219709208400646,59.935691318327976,31.502748970764504
D Pretorius,5,44,28,3,3,4,157.14285714285714,11.0,0.0,34.0,0.0,121.42857142857142,68.18181818181817,17.285714285714285
D Salunkhe,3,33,24,5,0,1,137.5,33.0,0.0,25.0,0.0,104.16666666666667,60.60606060606061,45.375
D Wiese,11,147,98,12,7,6,150.0,24.5,0.0,109.0,0.0,111.22448979591837,61.224489795918366,36.75
D du Preez,1,10,13,0,0,1,76.92307692307693,10.0,0.0,3.0,0.0,23.076923076923077,0.0,7.6923076923076925
DA Miller,122,2833,2002,201,128,83,141.50849150849152,34.13253012048193,98.0,953.0,4.895104895104895,47.6023976023976,55.48888104482881,48.30042848717549
DA Warner,178,6403,4510,648,225,159,141.97339246119734,40.270440251572325,3222.0,387.0,71.44124168514412,8.580931263858094,61.56489145712947,57.17331018421676
DAJ Bracewell,1,12,9,1,0,0,133.33333333333331,inf,0.0,12.0,0.0,133.33333333333331,33.33333333333333,inf
DB Das,20,281,228,22,15,12,123.24561403508773,23.416666666666668,58.0,84.0,25.438596491228072,36.84210526315789,63.345195729537366,28.860014619883046
DB Ravi Teja,22,331,268,30,9,19,123.50746268656717,17.42105263157895,28.0,109.0,10.44776119402985,40.67164179104478,52.567975830815705,21.516300078554597
DE Bollinger,4,21,21,1,1,1,100.0,21.0,0.0,21.0,0.0,100.0,47.61904761904761,21.0
DG Nalkande,2,12,12,0,1,2,100.0,6.0,0.0,0.0,0.0,0.0,50.0,6.0
DH Yagnik,16,156,118,21,2,8,132.20338983050848,19.5,0.0,91.0,0.0,77.11864406779661,61.53846153846154,25.779661016949152
DJ Bravo,106,1528,1156,118,64,67,132.17993079584775,22.80597014925373,123.0,770.0,10.640138408304498,66.60899653979239,56.02094240837696,30.144915560605277
DJ Harris,4,111,99,11,5,3,112.12121212121212,37.0,57.0,0.0,57.57575757575758,0.0,66.66666666666666,41.48484848484849
DJ Hooda,96,1455,1114,94,61,76,130.61041292639138,19.144736842105264,160.0,323.0,14.362657091561939,28.994614003590662,50.99656357388316,25.005019843144666
DJ Hussey,56,1265,1004,86,58,45,125.99601593625498,28.11111111111111,134.0,254.0,13.346613545816732,25.298804780876495,54.70355731225296,35.4188800354139
DJ Jacobs,6,80,74,9,4,6,108.10810810810813,13.333333333333334,80.0,0.0,108.10810810810811,0.0,75.0,14.414414414414418
DJ Malan,1,26,25,1,1,1,104.0,26.0,1.0,0.0,4.0,0.0,38.46153846153847,27.04
DJ Mitchell,15,351,265,28,10,13,132.45283018867923,27.0,97.0,38.0,36.60377358490566,14.339622641509434,49.002849002849004,35.762264150943395
DJ Muthuswami,1,1,3,0,0,1,33.33333333333333,1.0,0.0,1.0,0.0,33.33333333333333,0.0,0.33333333333333326
DJ Thornely,4,39,49,2,2,3,79.59183673469387,13.0,4.0,0.0,8.16326530612245,0.0,51.28205128205128,10.346938775510203
DJ Willey,5,53,60,7,0,3,88.33333333333333,17.666666666666668,6.0,21.0,10.0,35.0,52.83018867924528,15.605555555555556
DJG Sammy,20,295,232,15,18,15,127.15517241379312,19.666666666666668,8.0,112.0,3.4482758620689653,48.275862068965516,56.949152542372886,25.00718390804598
DJM Short,7,115,98,11,5,7,117.3469387755102,16.428571428571427,50.0,0.0,51.02040816326531,0.0,64.34782608695652,19.278425655976672
DL Chahar,12,80,57,2,6,7,140.35087719298244,11.428571428571429,0.0,17.0,0.0,29.82456140350877,55.00000000000001,16.040100250626566
DL Vettori,16,121,103,11,2,7,117.4757281553398,17.285714285714285,0.0,61.0,0.0,59.22330097087378,46.28099173553719,20.30651872399445
DM Bravo,1,6,5,1,0,0,120.0,inf,0.0,6.0,0.0,120.0,66.66666666666666,inf
DNT Zoysa,2,11,7,1,0,1,157.14285714285714,11.0,0.0,10.0,0.0,142.85714285714286,36.36363636363637,17.285714285714285
DP Conway,22,923,635,100,30,20,145.35433070866142,46.15,392.0,64.0,61.732283464566926,10.078740157480315,62.8385698808234,67.08102362204724
DP Nannes,2,4,13,0,0,1,30.76923076923077,4.0,0.0,1.0,0.0,7.6923076923076925,0.0,1.2307692307692308
DP Vijaykumar,1,1,1,0,0,0,100.0,inf,0.0,1.0,0.0,100.0,0.0,inf
DPMD Jayawardene,61,1456,1131,156,35,49,128.73563218390805,29.714285714285715,434.0,277.0,38.37312113174182,24.49160035366932,57.280219780219774,38.252873563218394
DR Martyn,1,19,24,1,0,2,79.16666666666666,9.5,1.0,4.0,4.166666666666666,16.666666666666664,21.052631578947366,7.520833333333332
DR Sams,13,44,44,1,3,10,100.0,4.4,1.0,24.0,2.272727272727273,54.54545454545454,50.0,4.4
DR Shorey,2,13,17,0,1,2,76.47058823529412,6.5,0.0,0.0,0.0,0.0,46.15384615384615,4.970588235294118
DR Smith,87,2379,1705,244,117,80,139.5307917888563,29.7375,1209.0,115.0,70.9090909090909,6.744868035190615,70.5338377469525,41.49296920821114
DS Kulkarni,20,104,106,7,2,9,98.1132075471698,11.555555555555555,0.0,97.0,0.0,91.50943396226415,38.46153846153847,11.33752620545073
DS Lehmann,2,18,17,3,0,2,105.88235294117648,9.0,4.0,0.0,23.52941176470588,0.0,66.66666666666666,9.529411764705882
DT Christian,38,419,354,21,18,26,118.36158192090396,16.115384615384617,3.0,232.0,0.847457627118644,65.5367231638418,45.82338902147971,19.074424163407215
DT Patil,2,13,13,1,0,1,100.0,13.0,0.0,0.0,0.0,0.0,30.76923076923077,13.0
DW Steyn,31,152,150,12,3,21,101.33333333333334,7.238095238095238,0.0,143.0,0.0,95.33333333333334,43.42105263157895,7.334603174603176
Dhruv Jurel,22,347,228,29,16,13,152.19298245614036,26.692307692307693,0.0,211.0,0.0,92.54385964912281,61.09510086455331,40.62381916329285
E Lewis,26,654,469,62,36,24,139.4456289978678,27.25,420.0,24.0,89.55223880597015,5.11727078891258,70.9480122324159,37.998933901918974
EJG Morgan,71,1315,1037,102,62,59,126.80810028929604,22.28813559322034,161.0,389.0,15.525554484088715,37.51205400192864,59.31558935361216,28.26316133566513
ER Dwivedi,2,24,13,2,2,2,184.6153846153846,12.0,5.0,19.0,38.46153846153847,146.15384615384613,83.33333333333334,22.153846153846153
F Behardien,3,14,13,2,0,2,107.6923076923077,7.0,0.0,14.0,0.0,107.6923076923077,57.14285714285714,7.538461538461538
F du Plessis,136,4466,3220,413,162,123,138.69565217391303,36.3089430894309,2090.0,415.0,64.90683229813664,12.888198757763975,58.75503806538289,50.35892541534111
FA Allen,3,13,18,1,0,2,72.22222222222221,6.5,0.0,4.0,0.0,22.22222222222222,30.76923076923077,4.694444444444444
FH Edwards,2,4,5,0,0,1,80.0,4.0,0.0,4.0,0.0,80.0,0.0,3.2
FY Fazal,10,167,153,19,1,8,109.15032679738562,20.875,60.0,36.0,39.21568627450981,23.52941176470588,49.101796407185624,22.785130718954246
Fazalhaq Farooqi,2,3,13,0,0,0,23.07692307692308,inf,0.0,3.0,0.0,23.076923076923077,0.0,inf
G Coetzee,5,14,20,0,1,4,70.0,3.5,0.0,9.0,0.0,45.0,42.857142857142854,2.45
G Gambhir,144,4012,3172,471,56,128,126.48171500630517,31.34375,2156.0,169.0,67.96973518284993,5.327868852459016,55.33399800598205,39.64411254728877
GB Hogg,4,22,22,1,0,2,100.0,11.0,0.0,22.0,0.0,100.0,18.181818181818183,11.0
GC Smith,25,689,601,86,9,26,114.64226289517472,26.5,335.0,36.0,55.74043261231281,5.990016638935108,57.76487663280116,30.3801996672213
GC Viljoen,3,3,5,0,0,2,60.0,1.5,0.0,3.0,0.0,60.0,0.0,0.9
GD McGrath,2,4,5,1,0,1,80.0,4.0,0.0,0.0,0.0,0.0,100.0,3.2
GD Phillips,8,65,54,3,6,7,120.37037037037037,9.285714285714286,0.0,45.0,0.0,83.33333333333334,73.84615384615385,11.177248677248679
GH Vihari,21,269,296,22,1,18,90.87837837837836,14.944444444444445,58.0,47.0,19.594594594594593,15.878378378378377,34.94423791821561,13.581268768768766
GHS Garton,2,2,4,0,0,1,50.0,2.0,0.0,2.0,0.0,50.0,0.0,1.0
GJ Bailey,36,660,530,59,19,29,124.52830188679243,22.75862068965517,131.0,284.0,24.71698113207547,53.58490566037736,53.03030303030303,28.340923877683796
GJ Maxwell,127,2751,1705,230,159,111,161.34897360703812,24.783783783783782,433.0,424.0,25.395894428152495,24.868035190615835,68.12068338785896,39.98838075612269
